                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6923,                 1.6375,                   1.36,                0.61644,                0.55046,                0.57856,                0.28961,                 1.6271,                 1.3579,                  1.314,               0.070109,              0.0033212,              0.0033212
                      2,                 1.6309,                  1.191,                 1.2576,                0.59887,                0.55265,                0.56858,                0.28268,                 1.6212,                 1.3699,                 1.2558,               0.040077,              0.0066216,              0.0066216
                      3,                 1.6527,                 1.1761,                 1.2373,                 0.6269,                0.55659,                0.59771,                0.29988,                  1.623,                 1.1915,                 1.2504,               0.010011,               0.009889,               0.009889
                      4,                 1.6406,                 1.1348,                 1.2253,                0.64361,                0.58154,                0.62043,                0.31686,                 1.5956,                 1.1304,                 1.2369,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.607,                 1.1092,                 1.2237,                0.64685,                0.57984,                 0.6246,                0.32174,                 1.6078,                 1.1927,                  1.239,               0.009802,               0.009802,               0.009802
                      6,                 1.5921,                 1.0788,                 1.2196,                0.60205,                0.56837,                 0.5801,                0.30238,                 1.6054,                 1.1756,                 1.2417,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5743,                 1.0461,                 1.1959,                0.67866,                0.61421,                0.65869,                 0.3396,                 1.5802,                 1.1911,                 1.2207,               0.009703,               0.009703,               0.009703
                      8,                 1.5534,                 1.0232,                 1.1922,                0.65685,                0.59711,                0.64483,                0.33295,                 1.5731,                 1.0754,                 1.2201,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5541,                 1.0064,                 1.1865,                0.67515,                0.58965,                0.63399,                0.32666,                 1.5861,                 1.0517,                 1.2089,               0.009604,               0.009604,               0.009604
                     10,                 1.5503,                 0.9984,                 1.1851,                 0.6666,                0.60052,                0.64707,                0.33794,                 1.5599,                 1.0865,                 1.2106,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5354,                0.97343,                 1.1743,                0.64805,                0.61207,                0.63834,                0.33117,                  1.585,                 1.1199,                 1.2136,               0.009505,               0.009505,               0.009505
                     12,                 1.5292,                0.97111,                 1.1737,                0.66908,                0.60276,                0.65212,                 0.3507,                 1.5445,                0.98253,                  1.188,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5243,                0.95354,                 1.1668,                0.65534,                0.60628,                0.65471,                0.35224,                 1.5148,                 1.0052,                 1.1731,               0.009406,               0.009406,               0.009406
                     14,                 1.5092,                0.95133,                 1.1608,                0.69366,                0.61764,                0.67533,                0.36516,                 1.5141,                0.98351,                 1.1663,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5121,                0.93812,                 1.1538,                0.70595,                 0.6194,                0.68383,                0.36266,                  1.535,                0.96181,                 1.1739,               0.009307,               0.009307,               0.009307
                     16,                 1.5027,                0.92718,                 1.1526,                0.68333,                0.62136,                0.68314,                0.36508,                 1.5191,                  1.009,                 1.1761,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4883,                0.92175,                 1.1498,                0.65775,                0.61502,                0.66071,                0.35739,                 1.5266,                0.96182,                   1.17,               0.009208,               0.009208,               0.009208
                     18,                 1.4933,                0.91875,                  1.152,                0.68146,                0.60895,                0.67303,                 0.3637,                 1.5165,                0.97296,                 1.1654,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4864,                0.90826,                 1.1455,                0.68846,                0.63875,                0.68744,                0.36925,                 1.5173,                0.96786,                  1.174,               0.009109,               0.009109,               0.009109
                     20,                 1.4876,                0.90327,                 1.1482,                0.67057,                0.63007,                0.67878,                 0.3701,                 1.5072,                0.95407,                 1.1671,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4849,                0.90388,                 1.1457,                0.70705,                0.62307,                 0.6959,                0.37254,                 1.5153,                0.95315,                 1.1668,                0.00901,                0.00901,                0.00901
                     22,                 1.4712,                0.89702,                 1.1342,                0.66626,                0.62089,                0.66381,                0.35964,                 1.5215,                0.98994,                 1.1668,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4746,                0.89443,                 1.1405,                0.68097,                0.63328,                0.68768,                0.37591,                 1.4866,                0.93066,                 1.1458,               0.008911,               0.008911,               0.008911
                     24,                 1.4733,                0.89005,                 1.1368,                0.70004,                0.62708,                0.69277,                0.37789,                   1.48,                0.91496,                 1.1437,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4602,                0.87595,                 1.1282,                0.70536,                0.63827,                0.70313,                0.38465,                 1.4802,                0.92093,                 1.1387,               0.008812,               0.008812,               0.008812
                     26,                 1.4648,                0.88031,                 1.1281,                0.69061,                0.64253,                0.70156,                0.37694,                 1.4883,                0.93479,                 1.1406,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4557,                0.87567,                 1.1259,                0.68563,                0.63706,                0.69195,                0.37752,                 1.4884,                0.91349,                 1.1392,               0.008713,               0.008713,               0.008713
                     28,                 1.4606,                0.87357,                 1.1239,                0.69969,                0.63502,                0.68985,                0.37564,                 1.4995,                0.90312,                 1.1377,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4624,                0.86764,                 1.1279,                0.70874,                0.64984,                0.71313,                0.39235,                 1.4804,                0.90009,                 1.1334,               0.008614,               0.008614,               0.008614
                     30,                 1.4456,                0.86177,                 1.1244,                0.69409,                0.63651,                0.69077,                0.37508,                  1.503,                 0.9134,                 1.1547,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4486,                0.86028,                 1.1204,                0.69227,                0.64656,                0.69901,                0.38508,                 1.4884,                0.88229,                 1.1482,               0.008515,               0.008515,               0.008515
                     32,                 1.4502,                0.85829,                 1.1197,                0.69479,                0.64141,                0.70649,                0.38633,                 1.4744,                0.90857,                 1.1271,              0.0084655,              0.0084655,              0.0084655
                     33,                  1.439,                0.84992,                 1.1108,                0.71025,                 0.6492,                0.71494,                0.39296,                 1.4729,                0.88265,                 1.1278,               0.008416,               0.008416,               0.008416
                     34,                 1.4402,                0.84746,                 1.1139,                 0.6955,                0.65683,                0.70172,                0.38681,                 1.4911,                0.91099,                 1.1422,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4393,                0.84866,                 1.1123,                0.69364,                0.64786,                0.70443,                0.38555,                   1.48,                0.90115,                 1.1355,               0.008317,               0.008317,               0.008317
                     36,                 1.4388,                0.84901,                 1.1146,                0.70729,                0.64776,                0.71166,                0.39093,                 1.4738,                0.89043,                 1.1359,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4382,                0.84439,                 1.1171,                0.69256,                 0.6502,                0.70504,                0.38352,                 1.4875,                0.89249,                 1.1389,               0.008218,               0.008218,               0.008218
                     38,                 1.4219,                0.84181,                 1.1167,                0.70803,                0.66007,                0.72201,                 0.3973,                 1.4624,                0.86663,                 1.1286,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4299,                0.83686,                 1.1092,                0.70851,                 0.6654,                0.72041,                0.39613,                 1.4815,                0.86767,                 1.1222,               0.008119,               0.008119,               0.008119
                     40,                  1.427,                0.83844,                 1.1097,                0.70975,                0.65789,                0.72556,                0.39744,                 1.4684,                0.86336,                 1.1291,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4237,                0.83188,                 1.1088,                0.70678,                0.63768,                 0.7064,                0.39026,                 1.4707,                0.87231,                  1.124,                0.00802,                0.00802,                0.00802
                     42,                 1.4084,                0.82264,                 1.1039,                0.71407,                0.65628,                0.72127,                0.39787,                 1.4547,                0.85572,                 1.1167,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4105,                0.82559,                 1.1049,                0.72451,                0.65202,                0.72543,                0.39744,                 1.4746,                0.86428,                 1.1279,               0.007921,               0.007921,               0.007921
                     44,                 1.4125,                0.82593,                 1.1082,                0.72087,                0.65743,                0.72719,                0.39848,                 1.4665,                 0.8713,                 1.1265,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4235,                 0.8287,                 1.1034,                0.72366,                 0.6541,                0.72682,                0.40142,                  1.462,                 0.8544,                 1.1289,               0.007822,               0.007822,               0.007822
                     46,                 1.4083,                0.81195,                 1.0997,                0.72038,                0.66711,                0.73179,                0.40494,                 1.4563,                0.85165,                 1.1187,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4072,                 0.8137,                 1.1008,                 0.7175,                0.65618,                 0.7231,                0.40033,                 1.4678,                0.85234,                 1.1301,               0.007723,               0.007723,               0.007723
                     48,                 1.4028,                0.80976,                 1.0943,                0.70739,                0.66375,                0.71997,                0.39764,                 1.4555,                0.85815,                 1.1155,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4024,                0.81706,                 1.0966,                0.71241,                0.66471,                0.73187,                0.40436,                 1.4498,                0.86281,                 1.1136,               0.007624,               0.007624,               0.007624
                     50,                 1.4009,                0.81075,                 1.0937,                0.71804,                0.66308,                 0.7294,                0.40447,                 1.4533,                0.85106,                 1.1149,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.396,                0.80247,                 1.0943,                0.71663,                0.66327,                0.72814,                0.40065,                 1.4582,                0.84473,                  1.111,               0.007525,               0.007525,               0.007525
                     52,                 1.3924,                0.80111,                  1.089,                0.70807,                0.65512,                0.71398,                0.39596,                  1.469,                0.84727,                 1.1185,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3944,                0.80083,                 1.0861,                0.70731,                0.66299,                0.72238,                0.40114,                  1.452,                0.83999,                 1.1079,               0.007426,               0.007426,               0.007426
                     54,                 1.3959,                0.80469,                 1.0936,                0.72208,                0.66061,                0.72638,                0.39934,                 1.4565,                0.83934,                 1.1163,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3938,                0.79816,                 1.0857,                0.71462,                0.66696,                0.72522,                0.40459,                 1.4474,                0.84671,                 1.1194,               0.007327,               0.007327,               0.007327
                     56,                 1.3882,                0.80244,                 1.0883,                0.70928,                0.66129,                0.72379,                0.40104,                 1.4446,                0.84256,                 1.1097,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3937,                0.80078,                 1.0894,                0.71776,                 0.6653,                 0.7255,                0.39743,                 1.4651,                0.84975,                 1.1235,               0.007228,               0.007228,               0.007228
                     58,                 1.3917,                0.79952,                 1.0874,                0.71488,                0.65926,                 0.7213,                0.39854,                 1.4517,                0.84913,                 1.1094,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3776,                0.78978,                 1.0817,                  0.723,                0.66836,                 0.7348,                0.41015,                  1.434,                 0.8323,                 1.1051,               0.007129,               0.007129,               0.007129
                     60,                 1.3763,                0.78422,                 1.0823,                0.72535,                0.66162,                0.73123,                0.40844,                  1.437,                0.82962,                 1.1042,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3748,                0.79349,                 1.0809,                0.72473,                 0.6629,                 0.7327,                0.40687,                 1.4438,                0.83281,                 1.1032,                0.00703,                0.00703,                0.00703
                     62,                 1.3784,                0.78699,                 1.0767,                0.71638,                0.66493,                0.73029,                0.40495,                 1.4357,                0.84589,                 1.0942,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3772,                0.78419,                 1.0782,                0.71915,                  0.667,                0.73202,                0.40488,                 1.4508,                 0.8382,                 1.1124,               0.006931,               0.006931,               0.006931
                     64,                 1.3732,                0.78225,                 1.0802,                0.72484,                 0.6685,                 0.7352,                0.41067,                 1.4393,                0.82331,                 1.1042,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3668,                0.78264,                 1.0733,                0.71502,                 0.6676,                0.73121,                0.40606,                 1.4334,                0.84029,                  1.101,               0.006832,               0.006832,               0.006832
                     66,                 1.3734,                0.78436,                 1.0743,                0.71664,                0.67356,                0.73339,                0.41058,                 1.4363,                0.82286,                 1.0971,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3623,                0.77515,                 1.0751,                0.72735,                0.67387,                0.73809,                0.41045,                 1.4417,                0.81902,                 1.1007,               0.006733,               0.006733,               0.006733
                     68,                 1.3629,                 0.7734,                 1.0768,                0.71715,                0.66261,                0.72683,                0.40538,                 1.4445,                0.83461,                  1.105,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3669,                0.78114,                 1.0717,                0.72292,                0.67254,                0.73708,                0.41079,                 1.4368,                0.82224,                 1.0993,               0.006634,               0.006634,               0.006634
                     70,                 1.3577,                0.76971,                  1.068,                0.72517,                0.66503,                0.73483,                0.40948,                 1.4353,                 0.8271,                 1.0982,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3606,                0.77464,                 1.0688,                0.72006,                0.66359,                 0.7311,                0.40695,                 1.4383,                0.82219,                 1.1008,               0.006535,               0.006535,               0.006535
                     72,                 1.3521,                0.76992,                  1.069,                0.72684,                0.68049,                  0.744,                0.41549,                 1.4311,                0.81488,                 1.1024,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3546,                0.76693,                 1.0697,                0.73256,                0.67745,                0.74553,                0.41625,                 1.4308,                0.80771,                 1.1017,               0.006436,               0.006436,               0.006436
